,日経平均,TOPIX,東証グロース市場250,Topix Large 70,Topix Mid 400,Topix Small,TOPIXグロース,TOPIXバリュー,,NYダウ,ナスダック,上海総合,,WTI原油,,ドル円,,米国10年債利回り,日本10年債利回り,S&P500,ラッセル2000,ドイツDAX,英国FTSE100,仏CAC40,ユーロ・ストックス50,イタリア40,モスクワRTSI ,イスタンブール100 ,深セン,香港ハンセン,タイSET,インドSENSEX30,韓国総合株価指数,SOX,アークETF,金,工業用金属指数,"TOPIX 500 
グロース","TOPIX 500
バリュー","TOPIX Small
グロース","TOPIX Small
バリュー",東証REIT,US-REIT,S&P 500 生活必需品,S&P 500 エネルギー,S&P 500 金融,S&P 500 ヘルスケア,S&P 500 資本財,S&P 500 IT,S&P 500 素材,S&P 500 不動産,S&P 500 電気通信,S&P 500 公益,S&P 500 一般消費財･ｻｰﾋﾞｽ,アップル,マイクロソフト,アルファベット,アマゾン,メタ,エヌビディア,テスラ,M7時価総額（兆ドル）,日経内需株50,日経外需株50,日経半導体株指数,TOPIX-17 食品,TOPIX-17 エネルギー資源,TOPIX-17 建設・資材,TOPIX-17 素材・化学,TOPIX-17 医薬品,TOPIX-17 自動車・輸送機,TOPIX-17 鉄鋼・非鉄,TOPIX-17 機械,TOPIX-17 電機・精密,TOPIX-17 情報通信・サービスその他,TOPIX-17 電力・ガス,TOPIX-17 運輸・物流,TOPIX-17 商社・卸売,TOPIX-17 小売,TOPIX-17 銀行,TOPIX-17 金融（除く銀行）,TOPIX-17 不動産,S&P500時価総額
45748,36045.38,2667.29,676.85,2611.93,2707.62,3039.6,3220.73,3133.93,,40669.36,17446.34,3279.03,,58.36,,143.02,,4.167,1.316,5569.06,1964.12,22496.98,8494.85,7593.87,5160.22,37604.82,1128.17,9078.43,9899.82,22119.41,1197.26,80242.24,2556.61,4230.1,50.84,3281.37,170.09,3243.99,3037.66,3000.1,4240.35,1712.43,91.4,902.34,617.47,811.11,1637.04,1111.41,4083.6,529.86,258.33,321.68,400.99,1570.08,212.5,395.26,161.59,184.42,549,108.92,282.16,14.9527,27814.67,33737,7449.8,389.84,194.83,354.62,282.74,268.08,317.96,286.88,608.07,360.54,380.62,82.55,196.54,877.74,341.36,228.39,272.3,422.71,47.15888007
45717,35617.56,2658.73,654.41,2562.07,2684.34,3030.77,3142,3186.01,,42001.76,17299.29,3348.44,,71.79,,149.95,,4.21,1.489,5611.85,2011.91,22163.49,8585.81,7790.71,5254.55,38051.99,1110.31,9659.48,10504.33,23119.58,1158.09,77414.92,2481.12,4270.4,47.58,3155.39,180.81,3160.61,3091.43,2971.85,4254.44,1691.63,94.01,892.71,715.75,829.46,1702.26,1109.72,4020,541.98,258.31,319.75,400.81,1575.4,222.13,375.39,156.23,190.26,576.36,108.38,259.16,14.9616,27260.66,34713.13,7716.89,376.03,221.79,343.15,288.71,262.3,308.85,301.53,610.25,363.75,363.61,81.11,195.55,849.61,323.31,251.03,280.25,412.28,47.55
45689,37155.5,2682.09,653.77,2709.9,2683.83,3015.49,3209.48,3177.76,,43840.91,18847.28,3320.9,,69.76,,150.6,,4.202,1.36,5954.5,2163.07,22551.43,8809.74,8111.63,5466.65,38655.09,1142.37,9658.72,10611.24,22941.32,1203.72,73198.1,2532.78,4766.7,55.64,2862.2,175.77,3233.09,3086.29,2985,4194.73,1700.49,97.92,918.34,689.88,866.84,1734.28,1152.54,4411.3,558.18,269,348.89,400.57,1731.52,241.84,396.99,172.22,212.28,668.2,124.92,292.98,16.5639,27159.49,36173.73,8716.32,365.8,218.15,344.34,293.74,261.91,314.78,314.77,596.12,376.75,380.05,80.22,199.15,828.99,319.67,243.95,275.2,397.2,50.31854881
45658,39572.49,2788.66,650.67,2772.71,2746.16,3097.62,3394.15,3252.06,,44544.66,19627.44,3250.6,,72.53,,155.18,,4.542,1.242,6040.53,2287.69,21732.05,8673.96,7950.17,5287.15,36471.75,949.5,10004.38,10156.07,20225.11,1314.5,77505.96,2517.37,5015.9,62.87,2835,170.8,3423.26,3161.1,3111.5,4247.66,1704.84,94.57,869.7,667.95,855.91,1710.76,1171.34,4474.2,559.03,258.01,372.33,395.93,1911.57,236,415.06,205.6,237.68,689.18,120.07,404.6,17.5891,27604.1,37994.07,9221.46,374.46,216.74,351.27,305.65,276.33,336.55,320.68,646.97,393.98,393.14,78.61,195.09,861.23,343.78,251.17,278.02,412.08,51.04554599
45627,39894.54,2784.92,644.18,2757.57,2743.86,3100.22,3397.83,3240.19,,42544.22,19310.79,3248.35,,71.72,,157.18,,4.572,1.07,5881.63,2230.16,19909.14,8173.02,7380.74,4869.28,34186.18,893.22,9830.56,10414.61,20059.95,1400.21,78139.01,2399.49,4979.9,56.77,2641,167.8,3425.81,3149.5,3127.51,4233.13,1652.94,93.64,853.65,654.85,804.44,1604.75,1115.65,4609.5,529.77,254.25,341.66,384.95,1831.16,250.42,421.5,190.44,219.39,585.51,134.29,403.84,17.5835,26979.61,38352.1,9043.92,387.51,225.09,353.98,314.84,281.27,348.4,316.38,638.48,388.29,384.61,82.53,196.08,903.35,344.44,236.33,283.56,397.53,49.81
45597,38208.03,2680.71,643.97,2679.47,2666.7,3007.23,3281.64,3108.97,,44910.65,19218.17,3326.46,,68,,149.75,,4.177,1.044,6032.38,2434.73,19626.45,8287.3,7235.11,4804.15,33414.56,753.78,9652,10611.72,19423.61,1427.54,79802.79,2455.91,4926.6,57.98,2681,172.87,3304.56,3021.86,3065.53,4063.3,1662.14,102.19,900.88,724.06,851.98,1713.71,1214.04,4558.7,594.62,281.37,330.15,418.72,1789.44,237.33,423.46,170.49,207.89,574.32,138.25,345.16,16.8819,26760.47,36053.14,8719.33,387.4,220.08,345.86,313.37,286.19,297.24,304.58,615.15,369.5,372.99,84.36,195.24,861.51,335.58,232.32,276.08,385.81,50.8047374
45566,39081.25,2695.51,630.28,2747.27,2690.83,3005.17,3344.67,3085.3,,41763.46,18095.15,3279.82,,69.26,,152.03,,4.284,0.935,5705.45,2196.65,19077.54,8110.1,7350.37,4827.63,34281.24,831.27,8863.88,10591.22,20317.33,1466.04,79389.06,2556.15,4946.7,45.89,2749.3,176.9,3371.64,2998.88,3084.77,4031.87,1682.36,97.92,861.7,681.25,773.41,1711.5,1131.09,4539.5,589.14,270.07,320.25,405.9,1580.24,225.91,406.35,172.69,186.4,567.58,132.76,249.85,16.00497946,26240.13,38657.61,9484.77,395.32,221.94,342.45,327,305.22,315.29,302.43,627.88,379.38,366.1,91.6,198.13,894.75,322.25,207.44,265.25,398.26,48.05133115
45536,37919.55,2645.94,652.63,2695.21,2685.25,2999.07,3300.93,3012.66,,42330.15,18189.17,3336.5,,68.17,,143.62,,3.787,0.864,5762.48,2229.97,19324.93,8236.95,7635.75,5001.05,34125.26,965.64,9665.78,10529.76,21133.68,1448.83,84299.78,2593.88,5173.1,47.53,2659.4,183.09,3233.81,2922.73,3080.86,4020.6,1726.24,93.21,887.78,676.47,754.16,1796.48,1147.06,4403.7,607.7,280.48,314.6,410.28,1605.41,233,430.3,167.19,186.33,572.44,121.44,261.63,15.6655,26063.65,37269.69,8847.99,390.99,219.06,345.9,334.11,288.12,305.46,301.63,612.01,373.68,356.88,87.26,197.53,907.89,324.56,193.62,256.87,398.66,48.7
45505,38647.75,2712.63,669.01,2763.23,2703.34,3038.59,3374.47,3097.19,,41563.08,17713.62,2842.21,,73.65,,146.16,,3.909,0.901,5648.4,2212.75,18906.92,8376.63,7630.95,4957.45,34372.67,915.48,9833.22,8348.48,17989.07,1359.07,82365.77,2674.31,5158.8,44.82,2536,172.28,3402.53,3006.95,3101.63,4099.29,1758.05,99.04,876.13,694.02,752.11,1816.49,1098.58,4253.3,587.38,270.22,298.51,383.17,1471.84,229,417.14,165.11,178.5,521.31,119.37,214.11,15.522,26754.29,38650.22,9540.73,387.63,228.67,341.16,331.16,325.36,322.12,298.86,599.1,376.47,360.6,91.92,196.17,908.51,319.42,201.72,269.32,427.04,47.40655261
45474,39101.82,2794.26,648.2,2810.84,2781.41,3132.15,3416.71,3243.21,,40842.79,17599.4,2938.749,,77.91,,149.98,,4.058,1.057,5522.3,2254.48,18508.65,8367.98,7531.49,4872.94,33763.86,1077.54,10638.58,8754.09,17344.6,1320.86,81741.34,2770.69,5233.2,45.53,2336.9,167.51,3149.35,3443.88,3153.21,4282.67,1722.58,93.21,836.01,709.46,728.86,1749.47,1069.85,4087.5,574.5,258.33,293.51,365.08,1489.94,222.08,418.35,173.15,186.98,474.83,117.02,232.07,15.3913,27766.69,41215.34,10125.49,407.06,234.49,357.03,345.13,315.17,346.56,305.67,644.48,382.2,359.96,92.93,197.47,979.38,307.01,229.81,292.54,436.2,46.34820577
45444,39583.08,2809.63,661.24,2820.4,2742.96,3133.43,3440.72,3256.4,,39118.86,17732.6,2967.403,,81.46,,160.85,,4.392,1.034,5460.48,2047.69,18235.45,8164.12,7479.4,4892.85,33154.05,1157.49,10647.91,8848.7,17718.61,1300.96,79032.73,2797.78,5470.1,43.95,2336.9,178.1,3163.49,3469.75,3158.38,4279.3,1724.02,87.72,827.8,693.6,683.32,1704.52,1030.66,4362.6,558.35,241.17,312.9,349.61,1499.31,210.62,446.95,183.42,193.25,504.22,123.54,197.88,15.7236,27440.02,41851.81,11374.03,388.88,241.93,341.44,338.75,291.88,372.24,317.67,670.89,395.79,358.39,97.71,193.97,993.88,303.18,225.63,288.18,415.7,45.84
45413,38487.9,2772.49,618.49,2790.97,2739.51,3056.86,3374.52,3231.73,,38686.32,16735.02,3086.813,,76.99,,157.31,,4.503,1.055,5277.51,2070.13,18497.94,8275.38,7992.87,4983.67,34492.41,1125.68,10400.48,9364.38,18079.61,1345.66,73961.31,2636.52,5123.36,42.45,2326.1,187.49,3142.29,3406.86,3058.15,4204.38,1741.01,86,816.48,701.55,683.31,1659.75,1038.5,4086.7,572.5,238,299.42,361.17,1426.67,192.25,415.13,173.96,176.44,467.29,109.633,178.08,14.4495,27898.41,41472.83,11112.34,392.65,242.48,343.56,331.13,285.7,384.88,324.57,650.37,383.29,343.62,104.8,197.86,1009.56,304.39,220.44,275.42,417.75,44.27654537
45383,38405.66,2743.17,647.4,2751.35,2726.88,3045.96,3348.57,3188.92,,37815.92,15657.82,3104.824,,81.55,,156.13,,4.613,0.886,5035.69,1973.91,17932.17,8144.13,7984.93,4921.22,33746.66,1174.68,10045.74,9587.12,17763.03,1367.95,74482.78,2692.05,4673.3,43.46,2291.4,185.15,3100.91,3376.03,3081.9,4144.86,1808.73,82.16,808.89,736.24,677.59,1636.25,1045.25,3692.54,568.45,231.02,282.17,340.78,1459.56,170.33,389.33,164.64,175,430.17,86.402,183.28,13.1902,27743.28,41744.95,10447.4,394.47,231.21,348.9,330.93,285.45,401.52,320.79,640.39,378.03,335.69,96.71,200.93,1014.22,304.82,204.88,256.59,450.14,42.24775637
45352,40369.44,2768.82,747.08,2794.39,2759.62,3096.55,3422.26,3184.99,,39807.37,16379.46,3041.3,,83.17,,151.38,,4.21,0.726,5254.35,2124.55,18492.49,7952.62,8205.81,5083.42,34750.35,1135.73,9142.4,9400.85,16541.42,1377.94,73651.35,2746.63,4905.21,50.08,2254.8,163.25,3448.09,3095.53,3172.61,4163.84,1796.11,88.49,812.84,713.36,697.35,1722.04,1066,3825.3,583.63,246,285.16,330.99,1487.53,171.48,420.72,152.26,180.38,485.58,90.356,175.79,13.5618,28372.54,42310.82,11731.5,385.88,226.37,342.98,333.4,281.97,411.25,312.96,643.1,381.75,348.64,90.92,203.01,953.04,321.32,199.64,256.7,448.01,44.08
45323,39166.19,2675.73,772.39,2665.91,2658.88,3007.28,3352.22,3034.57,,38996.39,16091.92,3015.17,,78.52,,149.98,,4.252,0.712,5096.27,2054.84,17678.19,7630.02,7927.43,4877.77,32580.94,1127.85,9135.7,9330.44,16511.44,1367.76,72500.3,2642.36,4726.92,51.21,2054.7,159.11,3377.08,2946.9,3112.27,4004.56,1698.87,87.21,789.2,653.14,670.11,1686.41,1022.56,3748.6,550.91,244.52,272.5,313.71,1472.04,180.75,413.64,139.78,176.76,490.13,79.112,201.88,13.269,26745.45,41430.08,11087.19,379.74,203.39,327.02,324.68,288.03,392.87,303.68,614.88,374.65,348.61,82.72,209.82,914.25,310.02,193.32,240.28,392.49,42.72018119
45292,36286.71,2551.1,712.04,2566.62,2599.78,2915.07,3204.6,2885.72,,38150.3,15164.01,2788.55,,75.85,,146.88,,3.918,0.736,4845.65,1947.34,16903.76,7630.57,7656.75,4648.4,30744.24,1125.63,8496.66,8212.84,15485.07,1364.52,71752.11,2497.09,4260.9,45.41,2067.4,160.33,3224.54,2797.41,3014.99,3884.18,1798.71,85.64,772.8,636.73,644.54,1635.58,955.86,3529.9,518.41,239.1,257.91,312.07,1367.7,184.4,397.58,141.8,155.2,390.14,61.527,187.29,12.475,26286,39461.71,9850.7,384.92,192.83,322.72,317.79,276.47,347.16,291.43,577.99,357.64,340.62,83.81,211.72,860.49,297.35,180.25,219.03,381.58,40.61932472
